cod_cliente,data_cadastro,data_primeira_compra,uf,cidade
53920,20101119,20101123,0,32
53968,20101119,20101223,0,33
54000,20101119,20101223,0,32
54352,20101123,20101125,0,6
54400,20101124,20101124,0,11
54560,20101124,20101129,0,35
54576,20101124,20101129,0,35
54608,20101124,20101129,0,35
54624,20101124,20101129,0,35
55152,20101125,20101201,0,36
55168,20101126,20101130,0,3
55600,20101214,20101214,0,3
55616,20101214,20101214,0,3
55648,20101214,20101220,0,20
55664,20101214,20101220,0,2
55712,20101216,20101221,0,21
55744,20101217,20101222,0,3
55888,20110107,20110111,0,37
55952,20110113,20110119,0,3
55984,20110113,20110114,0,19
56000,20110113,20110114,0,10
56096,20110118,20110121,0,10
56160,20110120,20110124,0,11
56192,20110124,20110126,0,3
56224,20110127,20110131,0,38
56240,20110127,20110131,0,38
56304,20110203,20110204,0,0
56448,20110216,20110216,0,3
56496,20110216,20110218,0,35
56672,20110224,20110228,0,3
56720,20110225,20110225,0,2
56752,20110302,20110302,0,3
56768,20110302,20110303,0,0
56928,20110304,20110309,0,33
57008,20110307,20110310,0,38
57088,20110308,20110314,0,0
57200,20110310,20110314,0,12
57232,20110311,20110314,0,3
57440,20110323,20110328,0,12
57584,20110401,20110404,0,3
57600,20110404,20110406,0,3
57632,20110406,20110406,0,3
57824,20110415,20110419,0,3
57840,20110415,20110419,0,3
57888,20110418,20110419,0,0
57920,20110419,20110425,0,0
57984,20110419,20110426,0,0
58000,20110419,20110426,0,0
58112,20110425,20110427,0,3
58192,20110427,20110428,0,11
58224,20110427,20110428,0,5
58304,20110428,20110502,0,8
58336,20110428,20110503,0,0
58416,20110503,20110503,0,0
58464,20110504,20110504,0,9
58560,20110506,20110506,0,2
58576,20110506,20110908,0,0
58592,20110506,20110511,0,0
58608,20110506,20110509,0,3
58688,20110518,20110518,0,9
58720,20110518,20110518,0,12
58736,20110518,20110519,0,0
58800,20110520,20110520,0,27
58880,20110524,20110524,0,3
58896,20110524,20110525,0,0
59104,20110603,20110606,0,0
59296,20110610,20110613,0,0
59408,20110615,20110616,0,0
59456,20110616,20110621,0,11
59472,20110616,20110621,0,11
59504,20110617,20110620,0,0
59536,20110617,20110621,0,2
59552,20110617,20110617,0,0
59632,20110620,20110621,0,3
59760,20110622,20110622,0,10
59776,20110622,20110622,0,10
59808,20110622,20110627,0,0
59888,20110627,20110628,0,0
60016,20110629,20110630,0,0
60144,20110704,20110704,0,0
60240,20110706,20110712,0,11
60400,20110708,20110708,0,18
60416,20110708,20110711,0,0
60528,20110708,20110711,0,0
60656,20110712,20151022,0,0
60720,20110713,20110726,0,9
60736,20110713,20110720,0,9
61056,20110719,20110725,0,21
61216,20110722,20110722,0,0
61344,20110727,20110727,0,0
61408,20110728,20110801,0,8
61504,20110729,20110729,0,0
61584,20110803,20110804,0,0
61600,20110803,20110804,0,0
61680,20110805,20110805,0,19
61968,20110812,20110812,0,35
62160,20110823,20110824,0,3
62208,20110823,20110823,0,0
62256,20110823,20111024,0,24
62544,20110905,20110906,0,0
62640,20110909,20110909,0,0
62992,20110916,20110916,0,35
63088,20110922,20110926,0,0
63120,20110923,20110926,0,3
63616,20111010,20111010,0,18
63680,20111013,20111014,0,26
63696,20111013,20111013,0,0
63808,20111019,20111019,0,3
63824,20111019,20111024,0,0
63840,20111020,20111020,0,0
64032,20111025,20111026,0,5
64128,20111027,20111028,0,0
64208,20111028,20111031,0,39
64272,20111101,20111103,0,0
64288,20111103,20111103,0,0
64368,20111104,20111104,0,0
